Category Name,Topic Name,Tag,Genre,Level,Type,Question,Option1,Option2,Option3,Option4,CorrectAnswer
Entertainment,Movies,Basic,All,easy,mcq,Aishwarya Rai was crowned Miss World in which year?,1993,1994,1995,1996,1994
Entertainment,Movies,Basic,All,medium,mcq,What are John Abraham and Akshay Kumar's professions in Garam Masala?,Reporter, Photographers , Professors , Lawyers, Photographers
Entertainment,Movies,Basic,All,hard,mcq,From where does Veeru propose to Basanti in Sholay?,Top of a roo, Top of a ladder , Top of a hill, Top of a water tank, Top of a water tank
Entertainment,Movies,Basic,All,easy,mcq,"Who, apart from Aamir Khan, wants to marry Preity Zinta in Dil Chahta Hai?",Shah Rukh Khan , Ayub Khan , Saif Ali Khan, Akshaye Khanna, Ayub Khan 
Entertainment,Movies,Basic,All,medium,mcq,What is Shah Rukh's mantra to woo a girl in Kal Ho Naa Ho?,Saat din ladki in, Ek din ladki in , Che din ladki in , Do din ladki in, Che din ladki in 
Entertainment,Movies,Basic,All,hard,mcq,"The catch-line 'American dream, Indian soul' was of the film...?",Aa Ab Laut Chalein, Indian , Pardes , American Desi, Pardes 
Entertainment,Movies,Basic,All,easy,mcq,Which of these films was Ashutosh Gowariker's directorial debut?,Pehla Nasha , Swades, Afsana Pyaar Ka , Jung, Pehla Nasha 
Entertainment,Movies,Basic,All,medium,mcq,Lata Mangeshkar was awarded the Padma Bhushan in which year?,1959,1969,1979,1989,1969
Entertainment,Movies,Basic,All,hard,mcq,Which of these actors has never appeared in television advertisements?,Govinda , Shah Rukh Khan , Anil Kapoor , Hrithik Roshan, Anil Kapoor 
Entertainment,Movies,Basic,All,easy,mcq,Raj Kapoor-Nargis starrer 'Chori Chori' was inspired from which Hollywood classic?, Titanic, Blithe Spirit , It Happened One Night , It's a Wonderful Life, It Happened One Night 
Entertainment,Movies,Basic,All,medium,mcq,Lata Mangeshkar made her debut in Hindi playback singing with the movie...?,Andaaz , Deewar , Barsaat , Aap ke Sewa Main, Aap ke Sewa Main
Entertainment,Movies,Basic,All,hard,mcq,Raima and Riya Sen are the daughters of...?,Aparna Sen , Moon Moon Sen , Tansen , Suchitra Sen, Moon Moon Sen 
Entertainment,Movies,Basic,All,easy,mcq,With whom is Kajol's marriage fixed in Dilwale Dulhaniya Le Jayenge?,Karan Johar , Javed Siddiqui , Parmeet Sethi , Anupam Kher, Parmeet Sethi 
Entertainment,Movies,Basic,All,medium,mcq,Who does Salman want to marry in Hum Aapke Hain Kaun?, Bhabhi's sister, Friend's Sister, Mama's daughter , A friend, Bhabhi's sister
Entertainment,Movies,Basic,All,hard,mcq,The song 'Aye mere pyaare watan' is from the film...?, Upkaar , Sarfarosh , Kabuliwala , Sikandar-E-Azam, Kabuliwala 
Entertainment,Movies,Basic,All,easy,mcq,Which was the first film in which Amitabh and Jaya Bachchan worked together?, Guddi , Milli , Ek Nazar , None of the Above, Guddi 
Entertainment,Movies,Basic,All,medium,mcq,In which year did Amitabh Bachchan debut in Hindi cinema?,1974,1965,1969,1972,1972
Entertainment,Movies,Basic,All,hard,mcq,he name of Madhuri Dixit's character in Beta was...?, Madhu , Damodri , Ganga , Saraswati, Saraswati
Entertainment,Movies,Basic,All,easy,mcq,"Considering the 20th century, who was the only actor to win the Best Actor award successively for three years?", Dilip Kumar , Naseeruddin Shah , Sanjeev Kumar , Amitabh Bachchan, Dilip Kumar 
Entertainment,Movies,Basic,All,medium,mcq,"""Mangal Pandey"", ""Rang De Basanti"" and ""Fanaa"" were comeback movies for which of the following actors?", Saif Ali Khan , Siddharth , Kunaal Kapoor, Aamir Khan, Aamir Khan
Entertainment,Movies,Basic,All,hard,mcq,"Which of the following actors appeared in the comedies ""Munnabhai MBBS"", ""Anthony Kaun Hai"", ""Lage Raho Munnabhai"" and ""Golmaal""?", Boman Irani , Arshad Warsi , Sanjay Dutt , Jimmy Shergill, Arshad Warsi 
Entertainment,Movies,Basic,All,easy,mcq,Who is the only Indian to have won an Oscar for Lifetime achievement in films?, V. Shantaram , Raj Kapoor , Subash Ghai , Satyajit Ray, Satyajit Ray
Entertainment,Movies,Basic,All,medium,mcq,Who was the hero of Yash Chopra's Noorie?,  Farooq Shaikh, Sachin, Sunny Deol,  Ajay Devgan,  Farooq Shaikh
Entertainment,Movies,Basic,All,hard,mcq,The theme music in Santosh Sivan's 'Asoka' was composed by...?,  Anu Malik, Sandeep Chowta  , Ravi Shankar,  Ranjeet Barot, Sandeep Chowta  
Entertainment,Movies,Basic,All,easy,mcq,What was the name of Madhuri Dixit's dog in Hum Aapke Hain Koun?, Toffy,  Tommy, Tuffy, Timmy, Tuffy
Entertainment,Movies,Basic,All,medium,mcq,The title role in RK Films' Henna was played by...?, Somy Ali, Randhir Kapoor, Zeba Bakhtiar,  Ashwini Bhave, Zeba Bakhtiar
